idle.277,445,571,193,522,585
idle.280,448,573,195,524,586
idle.280,449,574,195,523,586
idle.279,447,572,193,520,582
idle.277,444,570,193,519,582
idle.278,446,572,194,523,585
idle.280,448,574,195,524,587
idle.280,449,574,195,523,585
idle.279,446,571,192,519,581
idle.277,444,570,193,520,583
idle.279,447,572,194,523,586
idle.280,449,574,195,524,586
idle.280,448,573,194,522,584
idle.278,445,570,192,519,581
idle.277,444,571,193,521,584
idle.279,448,573,195,524,586
idle.280,449,574,195,524,586
idle.280,447,573,194,521,583
idle.277,444,570,192,519,581
idle.277,445,571,194,522,585
idle.280,448,573,195,524,586
idle.280,448,574,195,523,585
idle.279,447,572,193,520,582
idle.277,443,569,192,519,582
idle.277,446,571,194,523,585
idle.279,448,573,195,524,586
idle.279,448,573,194,522,584
idle.278,446,571,192,519,581
idle.276,444,570,193,520,583
idle.278,447,572,194,523,586
idle.279,448,573,195,524,586
idle.279,448,573,194,521,583
idle.277,444,569,192,518,580
idle.277,445,570,193,521,584
idle.279,448,573,195,523,586
idle.280,448,574,195,523,585
idle.279,447,572,193,520,582
idle.277,443,569,192,519,581
idle.277,445,571,194,522,585
idle.279,448,573,195,524,586
idle.280,448,573,195,523,585
idle.278,446,571,193,520,581
idle.275,443,569,192,519,582
idle.277,446,571,194,522,585
idle.279,448,573,195,523,586
idle.279,448,572,194,522,584
idle.277,445,570,191,518,580
idle.276,444,569,193,520,583
idle.277,447,572,194,523,586
idle.279,448,573,195,523,586
idle.279,447,572,194,521,583
idle.276,444,569,192,518,581
idle.276,444,570,193,521,584
idle.279,448,573,194,523,586
idle.279,448,573,195,523,585
idle.278,447,571,193,520,582
idle.276,443,569,192,519,581
idle.276,445,571,194,522,585
idle.279,448,573,195,523,586
idle.279,448,573,194,522,585
idle.277,446,571,193,519,581
idle.276,444,569,192,520,582
idle.277,446,572,194,523,585
idle.279,448,573,195,523,586
idle.279,448,573,194,522,584
idle.277,445,570,192,518,581
idle.275,444,569,193,520,583
idle.278,447,572,195,523,586
idle.280,449,574,195,523,586
idle.279,447,572,194,521,583
idle.277,444,569,192,518,581
idle.277,445,570,193,521,584
idle.279,448,573,195,524,586
idle.280,448,574,195,523,585
idle.279,447,572,193,520,582
idle.276,444,569,192,519,581
idle.278,446,571,194,522,585
idle.280,448,574,195,524,586
idle.280,448,573,195,523,585
idle.278,446,571,193,519,581
idle.277,444,570,192,520,583
idle.278,447,572,194,523,586
idle.280,449,574,195,524,586
idle.279,448,573,194,522,584
idle.278,445,570,192,518,581
idle.277,444,570,192,521,583
idle.279,447,573,194,523,586
idle.280,449,574,195,524,586
idle.279,448,573,194,521,583
idle.278,444,570,193,519,581
idle.277,445,571,194,522,585
idle.280,448,573,195,524,586
idle.280,449,574,195,523,585
idle.279,447,572,193,520,582
idle.276,444,570,192,519,582
idle.278,446,572,194,523,585
idle.280,449,573,195,524,586
idle.280,448,573,194,522,585
idle.278,446,571,191,519,581
idle.277,444,570,193,520,583
idle.279,447,572,194,523,586
idle.280,449,574,195,523,586
idle.280,448,573,194,522,584
idle.278,445,570,192,518,581
idle.277,444,570,193,521,584
idle.279,448,573,195,524,586
idle.280,449,574,195,523,586
idle.279,447,572,194,521,583
idle.277,444,569,192,519,582
idle.278,445,571,194,522,585
idle.280,448,574,196,524,587
idle.280,449,574,195,523,585
idle.279,446,572,193,519,581
idle.276,444,570,192,520,582
idle.278,447,572,195,523,586
idle.280,449,574,196,524,586
idle.280,448,573,195,522,584
idle.278,445,570,192,519,581
idle.277,444,570,193,521,584
idle.279,447,573,195,524,586
idle.280,449,574,195,523,586
idle.279,447,572,194,521,583
idle.277,444,570,191,519,581
idle.277,445,571,194,522,585
idle.279,448,573,195,524,586
idle.280,449,574,195,523,585
idle.279,446,572,193,520,582
idle.277,444,569,192,519,582
idle.278,446,572,194,523,585
idle.280,448,574,196,524,586
idle.280,448,573,194,522,584
idle.278,445,570,192,519,581
idle.276,444,570,193,521,583
idle.279,447,573,195,524,586
idle.280,449,574,195,523,586
idle.279,448,573,194,521,583
idle.277,444,570,192,519,581
idle.277,445,571,193,522,585
idle.279,448,573,196,524,587
idle.280,449,574,195,523,585
idle.279,446,572,193,520,582
idle.277,444,570,192,520,582
idle.278,446,572,194,523,586
idle.280,449,574,196,524,586
idle.280,448,573,195,522,584
idle.278,446,571,192,519,581
idle.277,444,570,193,521,583
idle.279,447,573,195,524,586
idle.280,449,574,195,524,586
idle.280,448,573,194,521,583
idle.277,444,570,192,519,581
idle.277,445,571,194,522,585
idle.280,448,574,195,524,587
idle.280,449,574,195,523,585
idle.279,447,572,193,520,582
idle.277,444,570,192,520,583
idle.278,447,572,194,523,586
idle.280,449,574,195,524,587
idle.280,448,573,195,522,584
idle.278,445,570,192,519,581
idle.277,444,570,193,521,584
idle.279,448,573,195,524,587
idle.280,449,574,195,524,586
idle.279,447,572,194,521,583
idle.277,444,570,192,519,582
idle.278,446,572,195,522,585
idle.280,449,574,195,524,587
idle.280,449,574,195,523,585
idle.279,446,572,193,519,582
idle.277,444,570,192,520,583
idle.278,447,572,195,524,586
idle.280,449,574,195,524,586
idle.280,448,573,194,522,584
idle.277,445,570,193,519,581
idle.277,445,571,193,521,584
idle.279,448,573,195,524,587
idle.280,449,574,194,524,586
idle.280,447,573,194,521,583
idle.277,444,570,192,519,582
idle.278,446,572,194,523,585
idle.280,449,574,195,524,587
idle.280,449,574,195,523,585
idle.279,447,572,192,520,582
idle.277,444,570,193,520,583
idle.279,447,573,195,523,586
idle.280,449,574,195,524,586
idle.280,448,573,195,522,584
idle.278,445,570,192,518,581
idle.277,445,571,193,522,584
idle.279,448,574,195,524,587
idle.280,449,574,196,524,586
idle.279,448,573,194,521,583
idle.277,444,570,192,519,582
idle.278,446,572,194,523,585
idle.280,449,574,195,524,587
idle.280,449,574,195,523,585
idle.279,447,572,193,520,581
idle.277,444,570,193,520,583
idle.279,447,573,195,524,586
idle.280,449,574,196,524,586
idle.280,448,573,194,522,584
idle.278,445,571,192,519,581
idle.277,445,571,193,521,584
idle.279,448,573,195,524,587
idle.280,449,574,196,524,586
idle.280,448,573,194,521,583
idle.277,444,570,192,519,582
idle.278,446,572,194,523,585
idle.280,449,574,196,524,587
idle.280,449,574,195,523,585
idle.279,447,572,194,520,582
idle.277,444,570,193,520,583
idle.279,447,573,195,524,586
idle.280,449,574,195,524,587
idle.280,448,573,195,522,584
idle.278,445,571,191,519,581
idle.277,445,571,194,521,584
idle.280,448,574,195,524,587
idle.281,449,574,195,524,586
idle.280,448,573,194,521,583
idle.277,444,570,192,519,582
idle.278,446,572,194,523,585
idle.280,449,574,196,525,587
idle.280,449,574,195,523,585
idle.279,447,572,193,520,582
idle.277,444,570,193,520,583
idle.279,447,573,195,524,586
idle.280,449,574,196,524,587
idle.280,448,573,194,522,584
idle.279,446,571,193,519,581
idle.278,445,571,193,522,585
idle.280,448,574,196,524,587
idle.281,449,575,195,524,586
idle.280,448,573,194,521,583
front.342,462,611,196,535,598
front.346,470,618,195,558,605
front.347,478,624,197,563,611
front.347,478,624,197,562,610
front.343,471,619,197,557,605
front.340,465,614,194,552,601
front.341,468,617,196,557,605
front.351,476,625,198,562,610
front.378,490,645,200,573,619
front.437,520,686,199,596,640
front.552,570,750,200,638,678
front.678,596,806,200,672,707
front.742,602,818,200,692,718
front.785,581,809,199,710,739
front.768,501,884,206,636,790
front.760,490,898,213,625,790
front.740,754,720,202,765,715
front.796,636,761,200,716,716
front.798,531,854,219,679,768
front.747,600,769,225,764,764
front.793,596,817,211,712,754
front.765,598,795,203,729,742
front.766,615,815,206,724,748
front.764,601,846,218,713,763
front.747,613,840,211,718,759
front.776,538,859,217,669,739
front.776,604,829,207,701,736
front.728,611,843,213,709,748
front.651,623,803,210,679,714
front.582,643,747,198,668,686
front.529,568,759,207,637,693
front.434,557,674,202,610,646
front.342,497,603,197,566,604
front.328,479,606,197,551,602
front.312,466,592,195,543,596
front.316,471,598,197,548,601
front.331,481,609,199,557,608
front.336,491,605,199,561,606
front.364,507,632,199,574,621
front.400,533,656,199,594,638
front.426,553,676,206,610,652
front.416,555,667,207,610,648
front.434,545,688,205,606,654
front.383,531,638,199,588,627
front.342,516,600,198,578,605
front.346,516,606,200,578,612
front.383,522,654,208,588,639
front.382,525,647,204,586,631
front.318,492,588,195,558,594
front.344,493,609,198,564,609
front.359,494,631,199,569,619
front.376,511,635,202,578,621
front.436,539,688,205,605,652
front.447,560,675,202,613,645
front.354,519,600,198,581,602
front.291,463,577,196,536,589
front.369,515,610,200,580,608
front.463,561,677,203,615,642
front.545,631,635,194,652,623
front.691,552,834,213,669,723
front.758,649,794,200,705,715
front.704,719,746,205,726,712
front.786,551,847,203,663,736
front.801,631,739,198,733,723
front.770,577,784,203,747,769
front.777,484,906,230,589,785
front.802,563,813,201,699,758
front.846,499,719,197,634,626
front.832,567,675,198,695,684
front.812,552,815,205,694,754
front.826,581,740,199,701,711
front.804,638,749,199,731,718
front.797,604,817,201,716,750
front.786,596,766,202,737,733
front.700,666,809,231,733,757
front.727,627,842,222,725,764
front.695,668,805,225,726,748
front.847,502,631,195,598,604
front.730,601,855,214,695,752
front.581,588,788,215,666,716
front.639,639,762,201,671,685
front.558,592,764,206,650,695
front.480,560,723,207,630,679
front.551,613,719,201,650,668
front.540,573,752,206,637,685
front.662,642,775,200,674,691
front.648,616,754,195,655,671
front.469,541,711,202,613,661
front.442,540,686,204,608,651
front.478,521,681,197,598,629
front.452,527,686,199,600,640
front.410,525,665,202,594,639
front.460,545,671,197,607,635
front.422,528,673,202,598,643
front.368,507,641,202,579,629
front.387,520,642,201,584,625
back.304,515,634,290,596,661
back.295,528,647,303,611,674
back.322,526,646,304,607,672
back.290,527,627,300,610,652
back.286,527,641,296,608,666
back.289,505,628,284,586,655
back.285,500,609,267,578,632
back.285,497,613,247,571,628
back.286,499,618,250,573,633
back.309,547,651,347,636,688
back.288,559,658,413,659,712
back.316,607,693,442,708,736
back.299,701,624,628,829,650
back.323,675,754,617,784,794
back.297,661,715,689,796,763
back.288,639,679,721,792,746
back.318,682,747,603,791,767
back.303,736,628,657,871,646
back.287,622,693,734,776,780
back.290,608,711,704,756,805
back.283,505,591,862,744,640
back.311,643,754,661,768,833
back.298,620,708,777,770,801
back.290,541,764,726,677,892
back.375,639,794,686,749,868
back.285,612,592,823,843,617
back.294,713,591,316,849,605
back.299,737,585,290,878,603
back.284,493,637,850,721,726
back.331,570,782,641,664,859
back.287,479,713,733,590,866
back.319,599,762,647,716,845
back.307,667,760,620,779,809
back.285,567,652,819,772,731
back.298,670,746,613,785,786
back.305,699,676,662,826,693
back.286,535,631,767,758,715
back.289,588,702,468,690,756
back.305,538,658,339,624,692
back.291,508,631,272,586,651
back.288,507,626,259,582,642
back.287,558,654,328,642,679
back.315,553,652,335,639,679
back.286,513,632,274,592,652
back.288,507,626,265,585,644
back.306,541,644,324,626,674
back.286,540,623,332,628,653
back.296,510,628,275,587,650
back.293,496,618,254,573,637
back.297,518,627,288,598,653
back.309,515,629,281,594,652
back.288,508,627,263,584,643
back.285,541,648,303,624,671
back.292,603,664,497,717,717
back.297,593,702,452,693,753
back.323,578,698,374,663,729
back.387,658,743,544,761,779
back.296,657,676,678,795,742
back.364,612,716,451,709,758
back.367,625,720,483,727,764
back.289,627,646,663,773,711
back.332,599,703,439,696,746
back.349,586,696,394,678,731
back.303,670,652,670,809,695
back.289,620,680,653,761,763
back.296,597,716,484,700,772
back.362,644,750,554,749,803
back.283,619,601,805,810,652
back.297,609,715,559,727,788
back.306,600,721,465,699,771
back.304,670,701,666,800,752
back.284,617,645,622,756,712
back.285,540,653,360,630,694
back.290,497,621,268,575,644
back.294,486,609,243,560,626
back.290,482,604,235,555,619
back.283,484,603,235,557,619
back.281,504,601,256,583,618
back.285,503,617,257,581,635
back.285,492,614,240,566,628
back.291,500,620,245,574,633
back.289,512,626,261,590,643
back.282,498,617,251,575,634
back.286,489,605,236,563,619
back.294,482,600,223,554,611
back.288,495,618,245,570,633
back.298,492,615,255,570,636
back.283,481,591,230,558,606
back.284,470,581,208,544,593
back.284,482,601,229,556,615
back.290,482,605,234,556,619
back.281,477,600,228,552,616
back.286,483,603,233,558,620
back.291,488,610,243,564,628
back.285,483,604,233,557,619
back.289,480,598,225,552,610
back.283,487,609,241,564,627
back.291,483,605,238,560,623
back.284,453,576,198,527,587
back.282,449,574,193,522,583
back.284,474,585,217,547,599
back.298,476,605,234,553,624
back.301,480,608,238,557,627
